name vdis vdis_err Dist mag_g mag_i total_mag sph_mag sph_Re Into_mass Taylor_mass
NGC4579 165.0 4.0 18.793 10.42803882369735 9.224056338415537 8.85090035943 10.4931693558 11.0549513566 47824147064.57714 21159832469.249653
NGC4725 130.8 9.1 12.531 10.827668341389074 9.57735697847233 8.603022793714242 10.652209729833864 9.238193112984034 20400662001.412277 8755995346.376064
NGC4795 nan nan 48.11764705882353 12.391334876924256 11.161098313251944 11.325467492294674 13.846545565941323 1.6935309969659675 15162595646.139854 6594109168.034016
NGC4826 96.0 3.0 4.406 8.967435023651147 7.836284169934537 7.814738799486911 10.312167909220758 8.316476569217171 2632724487.1137447 1221876801.936368
NGC4921 182.0 10.0 95.499 12.14543970008812 10.883487319317775 11.7706774386 13.5991587781 4.67379863622 80604118303.68016 34332134341.341316
NGC4999 nan nan 92.79411764705883 11.967154900214314 10.78235583204819 11.318259325331145 13.744059430326427 2.9312896072026815 55904169888.02046 25048196906.777657
NGC5172 nan nan 68.27941176470588 12.34224675506362 11.240925944551538 11.6035368645 14.2487962904 3.29906759437 15734828876.19439 7447072692.69139
NGC5174 nan nan 110.1029411764706 12.590669430625699 11.378657643850039 11.717931057735951 14.677485414641659 2.100691578449439 35435232363.92778 15595953287.390043
NGC5210 nan nan 110.70588235294117 12.748869274478869 11.521275432393317 12.051926324967074 13.695172313475554 3.2190079617908767 91717541414.07826 39956566280.439644
NGC5326 164.4 6.1 45.44117647058823 12.230010266691165 10.968270232557213 11.243401315269061 12.18613865550986 4.5018394661006065 67028207409.6264 28553654163.895573
NGC5350 nan nan 27.29 10.896358201311518 9.831511056381283 10.295039185021151 14.741504923416219 2.0532194859490973 1469872076.9842157 712521713.1442398
NGC5377 169.7 8.3 31.0 11.419927288703773 10.2643470404043 10.389042124158275 12.514318282235427 4.694758439623282 18123522835.41132 8277558306.716552
NGC5390 179.8 7.8 45.98529411764706 11.244490028792914 10.002115513038891 10.206260032943453 13.252261694851299 4.066668991675916 24607764232.14669 10616843611.794056
NGC5406 nan nan 84.82352941176471 12.350619650476673 11.127968780324151 11.705312483 14.2354845943 1.5924641662 32370540230.965252 14147980396.96036
NGC5440 nan nan 53.728 12.377655907151087 11.078280762520345 11.136673118621864 12.387694539232434 4.421121836393729 84763337939.65436 35227849676.59073
NGC5448 124.5 8.1 34.356 12.053919658395053 10.805420364997733 10.9732074386 13.3671126878 3.52183550246 12529447393.234747 5384056620.17582
NGC3126 nan nan 81.86764705882354 12.771843855933296 11.37872468536051 11.4170697785 13.9225361167 1.95709548651 59215111794.175606 23141611048.215984
NGC4224 nan nan 62.806 12.431556491528163 11.058718318365399 11.0412433413 12.6164333862 5.57382211721 110834385000.75562 43895058934.09144
NGC4235 134.1 12.1 22.491 12.030319477404367 10.726950765677465 10.7976595961 11.2868272064 21.1712450144 41314721506.910866 17125558623.847645
UGC8736 nan nan 43.44117647058823 12.218421557336764 10.414705827903635 12.942313144005132 15.795276999148497 3.634911344659842 7539670217.030574 2250574363.547198
